# luminosity_distance	mass_1	mass_2	ra	dec
2.953837816795608546e+02 1.003319602620898721e+01 9.460519117211976692e+00 2.056611397218717663e+00 3.348893579229133555e-01
4.098342994616205601e+02 9.819100777587539852e+00 9.585901944762166949e+00 2.130397642398298874e+00 5.837436406074577588e-01
1.914414324058744228e+02 1.399926827718297062e+01 6.855401901412277788e+00 2.119101223615651008e+00 4.622642837337161414e-01
2.821563053133619405e+02 1.378732728612552805e+01 7.028768863319156068e+00 2.024077314775550196e+00 3.815786089268232151e-01
3.121197320899327110e+02 1.190345090826164132e+01 7.939620861488856818e+00 2.119437201070153431e+00 4.199729870361976203e-01
2.964592711377345040e+02 9.795549482528107532e+00 9.702410551012071949e+00 2.178711730714151695e+00 5.308348514738335799e-01
2.744021909419965937e+02 1.512523271201174779e+01 6.539300415508882303e+00 2.199152981035075172e-01 1.039856118714871824e+00
3.010848469047419940e+02 1.225215152683522923e+01 7.822701183278073955e+00 2.131555530598200576e+00 4.059069048627046428e-01
3.883832614578898301e+02 1.087844249287779341e+01 8.714928334910709395e+00 2.131083811738356371e+00 4.664708706152427831e-01
3.271901481947066372e+02 1.187080889661599237e+01 8.062914830183842696e+00 2.069625660099506881e+00 3.916769420903687959e-01
2.743139223741743535e+02 1.032428267884920992e+01 9.244287156977504694e+00 2.141302223549609973e+00 5.338805136437496657e-01
2.832154561271919420e+02 1.175381710447656047e+01 8.180851842690021414e+00 2.178298915347688158e+00 5.564661273044998469e-01
3.208782908438577692e+02 1.097966622175616713e+01 8.701182789907958792e+00 2.135569536855621564e+00 9.959245827322830147e-01
2.486336570444868528e+02 1.325281540438995620e+01 7.281753509222881782e+00 2.048032808456763387e+00 3.163597460882005552e-01
3.664502994791038759e+02 1.272378086206205872e+01 7.533367049096207246e+00 2.143792474326205344e+00 4.564800790963335353e-01
4.178096958133758676e+02 1.005174108891970164e+01 9.339068089975162579e+00 2.243527125676303857e+00 7.825699088300751560e-01
2.680951659520846420e+02 1.537349341192904184e+01 6.433437671401956770e+00 1.900164667999901802e+00 2.676417638665777310e-01
3.487128734534681485e+02 1.218247495023899596e+01 7.889155940629651198e+00 2.231253845197561425e+00 6.335081081720176366e-01
3.433762221660893488e+02 1.183254509536379473e+01 8.088595740468882411e+00 1.217993672792604620e+00 1.307854976800959523e+00
2.822973417501258950e+02 1.000610459910162575e+01 9.431008878031725828e+00 2.142597516266690150e+00 1.048565866269246971e+00
3.068990208982080503e+02 1.307889451441481476e+01 7.349651421475530633e+00 2.074144665132264365e+00 3.407928507545083807e-01
1.968909269288542419e+02 1.001411195493077066e+01 9.451570782822850347e+00 2.184874112996300077e+00 5.033505879076324296e-01
2.547818383023974889e+02 1.222569363075286653e+01 7.804492380004427687e+00 1.880512436003643373e+00 1.795845603325489370e-01
3.595061367612154868e+02 1.292547989404202191e+01 7.470584585071441630e+00 2.129877311962666386e+00 5.650876040330732319e-01
2.887947074760440955e+02 9.740849255506530469e+00 9.736777482836780351e+00 2.129007257489325955e+00 4.767143021841829809e-01
2.354755124660388503e+02 1.416370895001213626e+01 6.958375009043399118e+00 2.176675819303086623e+00 6.169352494394468867e-01
3.813966390200393448e+02 1.681264062415380067e+01 5.973668940916467385e+00 2.057464416009583186e+00 3.830648285262988062e-01
4.090177988809239764e+02 1.459608404378393232e+01 6.764243267314258290e+00 2.182831178650215698e+00 5.669479300914262998e-01
2.152233593569187917e+02 9.832418545626008921e+00 9.654068897541563388e+00 2.124773428043595924e+00 4.298140130395707303e-01
3.904657092984683686e+02 1.313250335388505619e+01 7.352472376835626378e+00 2.190277495552983122e+00 6.596378555077928585e-01
2.347859785571305338e+02 1.191497201410640194e+01 7.983839927924531565e+00 2.049224345771620381e+00 3.267844791215607225e-01
3.419362716834282310e+02 1.581723615600596844e+01 6.281292453979309798e+00 2.067856121792847279e+00 4.610317184148894354e-01
4.155019957651599043e+02 1.093590074610929186e+01 8.621152108113427914e+00 1.372426513741667797e+00 1.325722829360163280e+00
2.494881697488423242e+02 1.009540629610042295e+01 9.338464273326025022e+00 2.125658812309727086e+00 4.183270713997878643e-01
5.129034821810890890e+02 1.092228591890481582e+01 8.632688729655551896e+00 1.922745626310065958e+00 1.198688702656377725e+00
3.765493193582216236e+02 1.143414717553034521e+01 8.388098903055247746e+00 2.202796627644077354e+00 5.753943515417608845e-01
2.800254297985529206e+02 1.179940338269089395e+01 8.145567955813213246e+00 2.004500831932763738e+00 2.358893400267556562e-01
3.698989255600246793e+02 1.414029738439056239e+01 6.916499489341583207e+00 2.196788748897224419e+00 7.199148917604365483e-01
2.811183975173589715e+02 1.233637723144522624e+01 7.753308053492337315e+00 1.990929923193582862e+00 2.735181965217884925e-01
3.404401765595011966e+02 1.224287907229549077e+01 7.747870506524322742e+00 2.066313780579420722e+00 1.175691944069220840e+00
3.490175300487657069e+02 1.191412744525526968e+01 7.997722992412827026e+00 2.110137834778064381e+00 4.460514726143265385e-01
